Description,Values
AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,1653
ARMED:KNIFE/CUTTING INSTRUMENT,1632
AGGRAVATED VEHICULAR HIJACKING,1590
PAROLE VIOLATION,1565
OTHER OFFENSE,1558
UNLAWFUL USE HANDGUN,1557
SOLICIT NARCOTICS ON PUBLICWAY,1530
CRIMINAL SEXUAL ABUSE,1514
RECKLESS FIREARM DISCHARGE,1514
ARMED: OTHER DANGEROUS WEAPON,1492
OTHER CRIME AGAINST PERSON,1448
ATTEMPT THEFT,1434
BOGUS CHECK,1398
"THEFT BY LESSEE,MOTOR VEH",1323
ATT: AUTOMOBILE,1319
ATTEMPT: ARMED-HANDGUN,1281
ATTEMPT: STRONGARM-NO WEAPON,1224
ENDANGERING LIFE/HEALTH CHILD,1111
RESIST/OBSTRUCT/DISARM OFFICER,1101
BY FIRE,1059
VEHICULAR HIJACKING,1010
POSS: SYNTHETIC DRUGS,1007
GUN OFFENDER: ANNUAL REGISTRATION,956
HOME INVASION,923
SEX OFFENDER: FAIL TO REGISTER,854
OTHER CRIME INVOLVING PROPERTY,841
AGG CRIM SEX ABUSE FAM MEMBER,773
THEFT OF LOST/MISLAID PROP,753
AGGRAVATED OF A SENIOR CITIZEN,744
AGGRAVATED: OTHER,734
PUBLIC INDECENCY,709
AGG CRIMINAL SEXUAL ABUSE,703
POSS: PCP,665
"TRUCK, BUS, MOTOR HOME",664
"CYCLE, SCOOTER, BIKE W-VIN",623
AGG: HANDS/FIST/FEET NO/MINOR INJURY,618
GAME/DICE,585
POSS: BARBITUATES,581
SEX OFFENDER: FAIL REG NEW ADD,577
OTHER WEAPONS VIOLATION,569
POSSESSION OF DRUG EQUIPMENT,568
GUN OFFENDER: DUTY TO REGISTER,555
AGG: HANDS/FIST/FEET SERIOUS INJURY,529
BOMB THREAT,495
ANIMAL ABUSE/NEGLECT,470
PREDATORY,450
COMPUTER FRAUD,436
CHILD PORNOGRAPHY,435
TO STATE SUP PROP,433
CRIM SEX ABUSE BY FAM MEMBER,427
UNLAWFUL USE OTHER DANG WEAPON,421
LIQUOR LICENSE VIOLATION,418
AGG PRO.EMP: OTHER DANG WEAPON,411
AGGRAVATED PO: OTHER DANG WEAP,403
AGGRAVATED: OTHER FIREARM,403
AGG SEX ASSLT OF CHILD FAM MBR,400
AGGRAVATED FINANCIAL IDENTITY THEFT,379
POSS: HEROIN(BRN/TAN),371
OTHER VIOLATION,366
POSS: HALLUCINOGENS,353
CHILD ABDUCTION,352
UNLAWFUL POSS OTHER FIREARM,347
FORFEIT PROPERTY,341
ATTEMPT: ARMED-KNIFE/CUT INSTR,329
OTHER,319
UNLAWFUL POSS AMMUNITION,318
INTIMIDATION,309
ARSON THREAT,309
VIOLATION OF CIVIL NO CONTACT ORDER,277
ALTER/FORGE PRESCRIPTION,257
UNLAWFUL USE OTHER FIREARM,255
ATTEMPT NON-AGGRAVATED,251
CHILD ABDUCTION/STRANGER,247
ATTEMPT: AGGRAVATED,244
FALSE POLICE REPORT,243
POSS FIREARM/AMMO:NO FOID CARD,240
GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,233
SEX ASSLT OF CHILD BY FAM MBR,232
AGGRAVATED OF A CHILD,228
POSS: METHAMPHETAMINES,226
OBSTRUCTING JUSTICE,223
MANU/DELIVER:COCAINE,219
ATTEMPT POSSESSION NARCOTICS,216
ATTEMPT: ARMED-OTHER DANG WEAP,213
EXTORTION,211
FINAN EXPLOIT-ELDERLY/DISABLED,207
STOLEN PROP: BUY/RECEIVE/POS.,202
ATTEMPT ARSON,195
SELL/GIVE/DEL LIQUOR TO MINOR,188
AGG PRO.EMP:KNIFE/CUTTING INST,181
SEXUAL EXPLOITATION OF A CHILD,177
AGGRAVATED PO: HANDGUN,173
ARMED: OTHER FIREARM,168
UNLAWFUL INTERFERE/VISITATION,168
OBSCENE MATTER,158
SOLICIT FOR BUSINESS,155
VIOLENT OFFENDER: ANNUAL REGISTRATION,144
UNAUTHORIZED VIDEOTAPING,143
PEEPING TOM,142
PROHIBITED PLACES,141
MANU/DELIVER:SYNTHETIC DRUGS,134
UNLAWFUL USE/SALE AIR RIFLE,134
EMBEZZLEMENT,134
MANU/DELIVER:PCP,133
UNLAWFUL RESTRAINT,125
CHILD ABANDONMENT,125
DELIVERY CONTAINER THEFT,123
AGG PRO.EMP: HANDGUN,116
POSS: AMPHETAMINES,115
AGG PRO EMP HANDS SERIOUS INJ,111
ATT CRIM SEXUAL ABUSE,109
ILLEGAL POSSESSION BY MINOR,105
AGGRAVATED: KNIFE/CUT INSTR,104
AGGRAVATED PO:KNIFE/CUT INSTR,102
INDECENT SOLICITATION/CHILD,102
ILLEGAL POSSESSION CASH CARD,100
ARMED WHILE UNDER THE INFLUENCE,100
NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,95
OBSTRUCTING SERVICE,93
MANU/DELIVER: HEROIN(BRN/TAN),92
"THEFT/RECOVERY: TRUCK,BUS,MHOME",91
VIOLENT OFFENDER: DUTY TO REGISTER,89
DECEPTIVE COLLECTION PRACTICES,86
SOLICIT FOR PROSTITUTE,82
VIO BAIL BOND: DOM VIOLENCE,80
FROM COIN-OP MACHINE/DEVICE,80
AGG PO HANDS ETC SERIOUS INJ,78
CRIMINAL DRUG CONSPIRACY,78
OBSCENE TELEPHONE CALLS,77
CYBERSTALKING,75
LOST PASSPORT,75
UNLAWFUL USE OF A COMPUTER,73
PROBATION VIOLATION,72
MANU/DELIVER: HALLUCINOGEN,69
IMPERSONATION,68
VIOLATION OF STALKING NO CONTACT ORDER,66
KIDNAPPING,63
TAMPER WITH MOTOR VEHICLE,61
MANU/DELIVER:BARBITUATES,59
INSTITUTIONAL VANDALISM,58
ILLEGAL CONSUMPTION BY MINOR,54
FALSE FIRE ALARM,53
CALL OPERATION,53
SALE/DIST OBSCENE MAT TO MINOR,50
INTERFERENCE JUDICIAL PROCESS,50
"THEFT BY LESSEE,NON-VEH",48
POSSESSION: SYNTHETIC MARIJUANA,47
TO AIRPORT,46
MOB ACTION,45
VIOLATION GPS MONITORING DEVICE,44
FOID - REVOCATION,42
CONTRIBUTE DELINQUENCY OF A CHILD,41
POS: HYPODERMIC NEEDLE,41
AGGRAVATED DOMESTIC BATTERY: HANDGUN,40
VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS,40
ATTEMPT: ARMED-OTHER FIREARM,39
ATTEMPT AGG: OTHER,39
OBSCENITY,38
PUBLIC DEMONSTRATION,37
PAY TV SERVICE OFFENSES,37
LICENSED PREMISE,37
ESCAPE,36
BOARD PLANE WITH WEAPON,35
POSS: HEROIN(BLACK TAR),32
ABUSE/NEGLECT: CARE FACILITY,31
ATT AGG CRIMINAL SEXUAL ABUSE,30
AGGRAVATED PO: KNIFE/CUT INSTR,29
MANU/DELIVER: METHAMPHETAMINES,29
POSSESSION OF BURGLARY TOOLS,28
EAVESDROPPING,28
SEX OFFENDER: PROHIBITED ZONE,28
"CYCLE, SCOOTER, BIKE NO VIN",27
CONTRIBUTE CRIM DELINQUENCY JUVENILE,27
POS: PORNOGRAPHIC PRINT,26
COMMERCIAL SEX ACTS,25
RECKLESS HOMICIDE,23
OF UNBORN CHILD,22
UNLAWFUL USE OF RECORDED SOUND,21
OTHER ARSON/EXPLOSIVE INCIDENT,21
OTHER PROSTITUTION OFFENSE,20
INTOXICATING COMPOUNDS,19
CRIMINAL TRANSMISSION OF HIV,18
UNLAWFUL SALE HANDGUN,18
"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",17
"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",17
GAME/AMUSEMENT DEVICE,17
MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,16
TO FIRE FIGHT.APP.EQUIP,14
ARSONIST: ANNUAL REGISTRATION,14
"ATT: TRUCK, BUS, MOTOR HOME",14
INDECENT SOLICITATION/ADULT,14
CANNABIS PLANT,13
ATTEMPT AGG: HANDGUN,13
SOLICIT OFF PUBLIC WAY,13
AGGRAVATED COMPUTER TAMPERING,13
INVOLUNTARY SERVITUDE,12
ATTEMPT AGG: KNIFE/CUT INSTR,12
HARBOR RUNAWAY,12
INSURANCE FRAUD,12
SALE/DEL DRUG PARAPHERNALIA,11
BRIBERY,11
DELIVER CANNABIS TO PERSON <18,10
BY EXPLOSIVE,10
HAZARDOUS MATERIALS VIOLATION,10
POS: EXPLOSIVE/INCENDIARY DEV,9
AGGRAVATED OF A UNBORN CHILD,9
SEX RELATION IN FAMILY,9
LIBRARY VANDALISM,9
GAME/CARDS,9
INTERFERE W/ EMERGENCY EQUIP,8
POSS: LOOK-ALIKE DRUGS,8
FORCIBLE DETENTION,8
VIOLATION OF SMOKING BAN,8
AGG PRO.EMP: OTHER FIREARM,8
MANU/DELIVER:AMPHETAMINES,8
SALE TOBACCO PRODUCTS TO MINOR,7
DEL CONT SUBS TO PERSON <18,7
AGGRAVATED PO: OTHER FIREARM,7
UNLAWFUL SALE OTHER FIREARM,6
MONEY LAUNDERING,6
OFFICIAL MISCONDUCT,6
NOTIFICATION OF CIVIL NO CONTACT ORDER,6
UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,5
DEFACE IDENT MARKS OF FIREARM,5
NOTIFICATION OF STALKING - NO CONTACT ORDER,5
EDUCATIONAL INTIMIDAITON,4
INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,4
SELL/ADVERTISE FIREWORKS,4
ARSONIST: FAIL TO REGISTER NEW ADDRESS,4
CONCEALED CARRY LICENSE REVOCATION,4
VIOLATION OF SUMMARY CLOSURE,4
ARSONIST: DUTY TO REGISTER,4
PANDERING,3
CONT SUBS:FAIL TO MAINT RECORD,3
KEEP PLACE OF PROSTITUTION,3
CONCEALING/AIDING A FUGITIVE,3
ALTER COINS,3
INTERFERE W/ HIGHER EDUCATION,3
UNLAWFUL USE OF BODY ARMOR,3
LIBRARY THEFT,2
ATTEMPT POSSESSION CANNABIS,2
ATTEMPT AGG: OTHER DANG WEAPON,2
ANIMAL FIGHTING,2
PATRONIZING A PROSTITUTE,2
JUVENILE PIMPING,2
MANU/DELIVER:HEROIN(BLACK TAR),2
FOUND PASSPORT,2
MINOR MISREPRESENT AGE,2
UNIDENTIFIABLE RECORDING SOUND,2
BIGAMY,1
CAB OPERATION,1
ATTEMPT AGG: OTHER FIREARM,1
"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",1
MANU/DELIVER:LOOK-ALIKE DRUG,1
FAIL REGISTER LIC:CONT SUBS,1
REFUSING TO AID AN OFFICER,1
PIMPING,1
COMPELLING CONFESSION,1
COMPELLING ORG MEMBERSHIP,1
GUN OFFENDER NOTIFICATION-NO CONTACT,1
POS: CHEMICAL/DRY-ICE DEVICE,1
POSS. KEYS OR DEV.TO COIN MACH,1
USE OF METAL PIERCING BULLETS,1
THEFT RETAIL,1
"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN",1
PATRONIZE JUVENILE PROSTITUTE,1
CONTRABAND IN PRISON,1
ARMED VIOLENCE,1
