Description,Values
RECKLESS FIREARM DISCHARGE,161
UNLAWFUL USE OTHER FIREARM,157
ESCAPE,156
AGGRAVATED OF A CHILD,155
UNLAWFUL USE OF A COMPUTER,142
TAMPER WITH MOTOR VEHICLE,140
AGG PRO.EMP:KNIFE/CUTTING INST,139
HARBOR RUNAWAY,132
AGG PRO.EMP: HANDGUN,131
DECEPTIVE COLLECTION PRACTICES,126
PAY TV SERVICE OFFENSES,117
MANU/DELIVER: HALLUCINOGEN,116
CRIMINAL DRUG CONSPIRACY,107
CHILD PORNOGRAPHY,106
ATTEMPT: ARMED-OTHER FIREARM,104
UNLAWFUL SALE HANDGUN,104
SEX OFFENDER: PROHIBITED ZONE,98
AGG PO HANDS ETC SERIOUS INJ,97
MANU/DELIVER:PCP,97
SOLICIT OFF PUBLIC WAY,96
AGGRAVATED PO:KNIFE/CUT INSTR,96
ATTEMPT AGG: OTHER,83
ATTEMPT AGG: KNIFE/CUT INSTR,81
FIREARM REGISTRATION VIOLATION,77
AGGRAVATED PO: KNIFE/CUT INSTR,76
OBSCENE MATTER,75
BRIBERY,73
MANU/DELIVER:SYNTHETIC DRUGS,71
CANNABIS PLANT,69
MANU/DELIVER:AMPHETAMINES,68
OBSTRUCTING SERVICE,67
UNIDENTIFIABLE RECORDING SOUND,67
ATTEMPT AGG: HANDGUN,66
UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,62
ATT AGG CRIMINAL SEXUAL ABUSE,58
"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",56
AGG PRO EMP HANDS SERIOUS INJ,56
EXTORTION,55
AGGRAVATED DOMESTIC BATTERY: HANDGUN,55
KEEP PLACE OF PROSTITUTION,53
ATTEMPT: AGGRAVATED,52
BOOKMAKING/SPORTS,50
WIREROOM/SPORTS,49
AGGRAVATED PO: OTHER FIREARM,47
AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM,47
MANU/DELIVER:BARBITUATES,46
PIMPING,44
BOARD PLANE WITH WEAPON,40
AGG PRO.EMP: OTHER FIREARM,40
MANU/DELIVER:HEROIN(BLACK TAR),38
COMPELLING ORG MEMBERSHIP,38
POSS: LOOK-ALIKE DRUGS,37
PANDERING,36
LICENSED PREMISE,36
CRIMINAL TRANSMISSION OF HIV,36
POSS: METHAMPHETAMINES,35
BY EXPLOSIVE,34
INSURANCE FRAUD,33
SALE/DEL DRUG PARAPHERNALIA,33
OTHER ARSON/EXPLOSIVE INCIDENT,32
INTOXICATING COMPOUNDS,31
MANU/DELIVER:LOOK-ALIKE DRUG,30
UNAUTHORIZED VIDEOTAPING,28
"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",28
ABUSE/NEGLECT: CARE FACILITY,28
MINOR MISREPRESENT AGE,27
IN TAVERN,26
FORCIBLE DETENTION,26
FINANCIAL IDENTITY THEFT $300 AND UNDER,25
ATTEMPT AGG: OTHER DANG WEAPON,25
OFFICIAL MISCONDUCT,24
UNLAWFUL SALE OTHER FIREARM,24
MANU/DELIVER: METHAMPHETAMINES,23
HAZARDOUS MATERIALS VIOLATION,22
INDECENT SOLICITATION/ADULT,22
BOLITA OR BOLI PUL/RUNNER,21
POS: EXPLOSIVE/INCENDIARY DEV,20
POSS. KEYS OR DEV.TO COIN MACH,20
LIBRARY VANDALISM,20
BOOKMAKING/HORSES,19
WIREROOM/HORSES,19
EAVESDROPPING,19
DEL CONT SUBS TO PERSON <18,18
AGGRAVATED OF A UNBORN CHILD,17
SELL/ADVERTISE FIREWORKS,17
COMPOUNDING A CRIME,16
OF UNBORN CHILD,15
PAROLE VIOLATION,14
CONCEALING/AIDING A FUGITIVE,14
BIGAMY,14
SALE/DIST OBSCENE MAT TO MINOR,13
CAB OPERATION,13
CYBERSTALKING,12
BOLITA OR BOLI PUL/WRITER,12
EDUCATIONAL INTIMIDAITON,12
VIOL CHARITABLE GAME ACT,12
CONTRIBUTE CRIM DELINQUENCY JUVENILE,12
POS: CHEMICAL/DRY-ICE DEVICE,12
DELIVER CANNABIS TO PERSON <18,12
DEFACE IDENT MARKS OF FIREARM,11
POS: PORNOGRAPHIC PRINT,10
LIBRARY THEFT,9
REFUSING TO AID AN OFFICER,9
$300 AND UNDER,8
SEX RELATION IN FAMILY,8
MONEY LAUNDERING,7
LOOTING,7
RECKLESS HOMICIDE,6
OVER $300,6
ATT AGG CRIM SEXUAL ABUSE,6
LOTTERY/OTHER,5
AGGRAVATED FINANCIAL IDENTITY THEFT,5
BOLITA OR BOLI PUL/OFFICE,5
AIDING ARRESTEE ESCAPE,5
AGG RITUAL MUT:KNIFE/CUTTING I,5
OBSCENITY,5
FAILURE TO KEEP HYPO RECORDS,4
FORNICATION,4
JUVENILE PIMPING,4
ADULTRY,4
AGG RITUAL MUT:OTH DANG WEAPON,4
SALE TOBACCO PRODUCTS TO MINOR,4
PUBLIC DEMONSTRATION,4
POLICY/OTHER,4
CONTRABAND IN PRISON,3
AGG RIT MUT: HANDS/FIST/FEET SERIOUS INJURY,3
"CYCLE, SCOOTER, BIKE NO VIN",3
EMPLOY MINOR,3
LOTTERY/PARLAY CARDS,3
REGISTER OF SALES BY DEALER,3
MARRYING A BIGAMIST,2
PATRONIZE JUVENILE PROSTITUTE,2
ATTEMPT - FINANCIAL IDENTITY THEFT,2
AGGRAVATED COMPUTER TAMPERING,2
NATIONAL LOTTERY,2
CONT SUBS:FAIL TO MAINT RECORD,2
AGG RIT MUT: HANDS/FIST/FEET NO/MINOR INJURY,2
SPORTS TAMPERING,1
INTERFERE W/ HIGHER EDUCATION,1
CALCULATED CANNABIS CONSPIRACY,1
USE OF METAL PIERCING BULLETS,1
LOST PASSPORT,1
ALTER COINS,1
ATTEMPT AGG: OTHER FIREARM,1
INTERFERE W/ EMERGENCY EQUIP,1
AGG RITUAL MUT:HANDGUN,1
DOMESTIC VIOLENCE,1
INVOLUNTARY MANSLAUGHTER,1
ARMED VIOLENCE,1
UNLAWFUL USE OF BODY ARMOR,1
COMPELLING CONFESSION,1
FAIL REGISTER LIC:CONT SUBS,1
REGISTER FED GAMBLING STAMP,1
