Description,Values
TO CITY OF CHICAGO PROPERTY,3216
FINANCIAL ID THEFT:$300 &UNDER,3074
OTHER OFFENSE,3051
SOLICIT NARCOTICS ON PUBLICWAY,3023
FORGERY,2991
MANU/DELIVER:CRACK,2880
FINANCIAL IDENTITY THEFT $300 AND UNDER,2878
COUNTERFEITING DOCUMENT,2854
LICENSE VIOLATION,2780
ARMED: OTHER DANGEROUS WEAPON,2690
OTHER WEAPONS VIOLATION,2678
ATTEMPT THEFT,2660
BOGUS CHECK,2627
GAME/DICE,2622
ATT: AUTOMOBILE,2421
ARMED:KNIFE/CUTTING INSTRUMENT,2362
FIRST DEGREE MURDER,2284
ATTEMPT: STRONGARM-NO WEAPON,2269
COUNTERFEIT CHECK,2161
POSSESSION OF DRUG EQUIPMENT,2153
MANU/DEL:CANNABIS OVER 10 GMS,2081
CRIMINAL SEXUAL ABUSE,1978
THEFT OF LOST/MISLAID PROP,1914
RESIST/OBSTRUCT/DISARM OFFICER,1800
VEHICLE TITLE/REG OFFENSE,1746
ATTEMPT: ARMED-HANDGUN,1721
POSS: SYNTHETIC DRUGS,1658
UNLAWFUL USE OTHER DANG WEAPON,1642
OTHER CRIME AGAINST PERSON,1559
ENDANGERING LIFE/HEALTH CHILD,1547
OTHER CRIME INVOLVING PROPERTY,1540
BY FIRE,1505
"CYCLE, SCOOTER, BIKE W-VIN",1368
SOLICIT FOR BUSINESS,1324
HOME INVASION,1309
POSS: PCP,1291
SOLICIT FOR PROSTITUTE,1219
POSS: HALLUCINOGENS,1211
PUBLIC INDECENCY,1209
AGGRAVATED VEHICULAR HIJACKING,1204
AGG CRIMINAL SEXUAL ABUSE,1146
SEX OFFENDER: FAIL REG NEW ADD,1063
ATTEMPT FINANCIAL IDENTITY THEFT,1018
AGGRAVATED: OTHER,1016
POSS: HEROIN(BRN/TAN),1011
ATTEMPT - FINANCIAL IDENTITY THEFT,961
FORFEIT PROPERTY,938
SEX OFFENDER: FAIL TO REGISTER,929
TO STATE SUP PROP,924
PROBATION VIOLATION,911
AGG CRIM SEX ABUSE FAM MEMBER,868
AGG: HANDS/FIST/FEET SERIOUS INJURY,857
VEHICULAR HIJACKING,824
AGG: HANDS/FIST/FEET NO/MINOR INJURY,815
ANIMAL ABUSE/NEGLECT,792
BOMB THREAT,790
PREDATORY,768
"THEFT BY LESSEE,MOTOR VEH",767
OBSTRUCTING JUSTICE,742
AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,742
LIQUOR LICENSE VIOLATION,738
ILLEGAL POSSESSION BY MINOR,737
UNLAWFUL USE HANDGUN,724
CALL OPERATION,686
RECKLESS FIREARM DISCHARGE,668
ARSON THREAT,667
AGGRAVATED OF A SENIOR CITIZEN,666
POSS: BARBITUATES,650
UNLAWFUL POSS OTHER FIREARM,644
AGGRAVATED PO: OTHER DANG WEAP,624
OTHER VIOLATION,617
INTIMIDATION,604
FALSE POLICE REPORT,599
UNLAWFUL POSS AMMUNITION,599
CHILD ABDUCTION,579
COMPUTER FRAUD,537
SELL/GIVE/DEL LIQUOR TO MINOR,533
CRIM SEX ABUSE BY FAM MEMBER,526
AGGRAVATED: OTHER FIREARM,512
AGG SEX ASSLT OF CHILD FAM MBR,502
FINAN EXPLOIT-ELDERLY/DISABLED,488
CHILD ABDUCTION/STRANGER,481
POSS FIREARM/AMMO:NO FOID CARD,479
MANU/DELIVER:COCAINE,466
ATTEMPT: ARMED-KNIFE/CUT INSTR,464
AGG: FINANCIAL ID THEFT,461
AGG PRO.EMP: OTHER DANG WEAPON,458
STOLEN PROP: BUY/RECEIVE/POS.,454
CHILD PORNOGRAPHY,445
UNLAWFUL USE/SALE AIR RIFLE,416
UNLAWFUL USE OF RECORDED SOUND,387
DECEPTIVE COLLECTION PRACTICES,376
MOB ACTION,372
ATTEMPT: ARMED-OTHER DANG WEAP,365
GUN OFFENDER: ANNUAL REGISTRATION,353
ATTEMPT NON-AGGRAVATED,347
OBSCENE TELEPHONE CALLS,341
ATTEMPT ARSON,341
ILLEGAL CONSUMPTION BY MINOR,334
ARMED: OTHER FIREARM,332
UNLAWFUL INTERFERE/VISITATION,320
EMBEZZLEMENT,319
AGGRAVATED PO: HANDGUN,308
ATTEMPT POSSESSION NARCOTICS,308
ATTEMPT: AGGRAVATED,305
GUN OFFENDER: DUTY TO REGISTER,302
OTHER,288
SEX ASSLT OF CHILD BY FAM MBR,285
AGGRAVATED FINANCIAL IDENTITY THEFT,284
CRIMINAL DRUG CONSPIRACY,280
POSS: METHAMPHETAMINES,271
ILLEGAL POSSESSION CASH CARD,256
ALTER/FORGE PRESCRIPTION,249
"THEFT/RECOVERY: TRUCK,BUS,MHOME",246
AGGRAVATED: KNIFE/CUT INSTR,235
CHILD ABANDONMENT,219
PEEPING TOM,216
MANU/DELIVER:SYNTHETIC DRUGS,213
OBSTRUCTING SERVICE,210
DELIVERY CONTAINER THEFT,206
IMPERSONATION,206
POSS: AMPHETAMINES,195
POSSESSION OF BURGLARY TOOLS,191
SEXUAL EXPLOITATION OF A CHILD,190
MANU/DELIVER: HEROIN(BRN/TAN),189
UNLAWFUL RESTRAINT,183
AGGRAVATED PO:KNIFE/CUT INSTR,181
AGG PRO.EMP:KNIFE/CUTTING INST,181
MANU/DELIVER: HALLUCINOGEN,181
MANU/DELIVER:PCP,180
FALSE FIRE ALARM,175
AGGRAVATED OF A CHILD,158
FROM COIN-OP MACHINE/DEVICE,151
INDECENT SOLICITATION/CHILD,151
"ATT: TRUCK, BUS, MOTOR HOME",148
ATT CRIM SEXUAL ABUSE,146
UNAUTHORIZED VIDEOTAPING,132
POSSESSION: SYNTHETIC MARIJUANA,124
CANNABIS PLANT,122
POS: HYPODERMIC NEEDLE,121
TAMPER WITH MOTOR VEHICLE,118
UNIDENTIFIABLE RECORDING SOUND,116
UNLAWFUL USE OTHER FIREARM,115
CYBERSTALKING,111
INSTITUTIONAL VANDALISM,110
VIOLATION OF STALKING NO CONTACT ORDER,107
VIO BAIL BOND: DOM VIOLENCE,106
UNLAWFUL USE OF A COMPUTER,100
KIDNAPPING,96
CONTRIBUTE DELINQUENCY OF A CHILD,95
INTERFERENCE JUDICIAL PROCESS,94
AGG PRO EMP HANDS SERIOUS INJ,93
OTHER PROSTITUTION OFFENSE,92
OBSCENE MATTER,91
AGG PRO.EMP: HANDGUN,88
AGG PO HANDS ETC SERIOUS INJ,87
MANU/DELIVER:BARBITUATES,85
EXTORTION,76
VIOLATION OF CIVIL NO CONTACT ORDER,75
ESCAPE,69
TO FIRE FIGHT.APP.EQUIP,69
ATTEMPT AGG: OTHER,66
PATRONIZING A PROSTITUTE,65
POSS: HEROIN(BLACK TAR),65
LICENSED PREMISE,64
ATTEMPT: ARMED-OTHER FIREARM,61
PAY TV SERVICE OFFENSES,61
TO AIRPORT,58
"CYCLE, SCOOTER, BIKE NO VIN",58
VIOLENT OFFENDER: ANNUAL REGISTRATION,56
"THEFT BY LESSEE,NON-VEH",54
"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",53
HARBOR RUNAWAY,53
CONTRIBUTE CRIM DELINQUENCY JUVENILE,52
AGGRAVATED PO: KNIFE/CUT INSTR,51
FIREARM REGISTRATION VIOLATION,51
BOARD PLANE WITH WEAPON,49
UNLAWFUL SALE HANDGUN,48
GAME/AMUSEMENT DEVICE,48
AGGRAVATED DOMESTIC BATTERY: HANDGUN,46
PUBLIC DEMONSTRATION,46
SALE/DIST OBSCENE MAT TO MINOR,43
OBSCENITY,42
ATT AGG CRIMINAL SEXUAL ABUSE,41
ATTEMPT POSSESSION CANNABIS,40
SEX OFFENDER: PROHIBITED ZONE,40
CRIMINAL TRANSMISSION OF HIV,40
SOLICIT OFF PUBLIC WAY,38
SALE/DEL DRUG PARAPHERNALIA,37
GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,36
OTHER ARSON/EXPLOSIVE INCIDENT,36
POSS: LOOK-ALIKE DRUGS,35
FOID - REVOCATION,34
MANU/DELIVER: METHAMPHETAMINES,34
ATTEMPT AGG: KNIFE/CUT INSTR,34
ABUSE/NEGLECT: CARE FACILITY,33
ATTEMPT AGG: HANDGUN,33
OF UNBORN CHILD,33
LOST PASSPORT,33
INSURANCE FRAUD,32
INTOXICATING COMPOUNDS,31
MANU/DELIVER:AMPHETAMINES,26
MANU/DELIVER:LOOK-ALIKE DRUG,26
LIBRARY THEFT,25
INDECENT SOLICITATION/ADULT,25
GAME/CARDS,24
MONEY LAUNDERING,24
KEEP PLACE OF PROSTITUTION,23
HAZARDOUS MATERIALS VIOLATION,22
BRIBERY,22
EAVESDROPPING,22
VIOLATION GPS MONITORING DEVICE,22
"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",21
ARMED WHILE UNDER THE INFLUENCE,20
POS: EXPLOSIVE/INCENDIARY DEV,20
SEX RELATION IN FAMILY,19
POS: PORNOGRAPHIC PRINT,17
AGGRAVATED PO: OTHER FIREARM,17
PIMPING,17
CONT SUBS:FAIL TO MAINT RECORD,17
AGG PRO.EMP: OTHER FIREARM,17
FORCIBLE DETENTION,15
SELL/ADVERTISE FIREWORKS,15
DEFACE IDENT MARKS OF FIREARM,15
UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,15
AGGRAVATED OF A UNBORN CHILD,14
BY EXPLOSIVE,14
VIOLATION OF SMOKING BAN,14
MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,13
COMPELLING ORG MEMBERSHIP,12
DELIVER CANNABIS TO PERSON <18,11
LIBRARY VANDALISM,11
INVOLUNTARY SERVITUDE,11
VIOLENT OFFENDER: DUTY TO REGISTER,10
PROHIBITED PLACES,10
INTERFERE W/ HIGHER EDUCATION,9
DEL CONT SUBS TO PERSON <18,9
BIGAMY,9
RECKLESS HOMICIDE,9
SALE TOBACCO PRODUCTS TO MINOR,8
ATTEMPT AGG: OTHER DANG WEAPON,8
MANU/DELIVER:HEROIN(BLACK TAR),8
ANIMAL FIGHTING,8
UNLAWFUL SALE OTHER FIREARM,7
VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS,7
COMMERCIAL SEX ACTS,6
AGGRAVATED COMPUTER TAMPERING,5
PATRONIZE JUVENILE PROSTITUTE,5
CALCULATED CANNABIS CONSPIRACY,4
PANDERING,4
BOOKMAKING/SPORTS,4
CONCEALING/AIDING A FUGITIVE,4
EDUCATIONAL INTIMIDAITON,4
INTERFERE W/ EMERGENCY EQUIP,4
"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",4
COMPOUNDING A CRIME,4
MINOR MISREPRESENT AGE,3
OFFICIAL MISCONDUCT,3
COMPELLING CONFESSION,3
UNLAWFUL USE OF BODY ARMOR,3
AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM,3
NOTIFICATION OF STALKING - NO CONTACT ORDER,3
AIDING ARRESTEE ESCAPE,3
NOTIFICATION OF CIVIL NO CONTACT ORDER,3
POS: CHEMICAL/DRY-ICE DEVICE,2
GUN OFFENDER NOTIFICATION-NO CONTACT,2
"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN",2
FOUND PASSPORT,2
ARMED VIOLENCE,2
IN TAVERN,2
JUVENILE PIMPING,2
INVOLUNTARY MANSLAUGHTER,2
CONCEALED CARRY LICENSE REVOCATION,2
FORNICATION,1
VIOLATION OF SUMMARY CLOSURE,1
EMPLOY MINOR,1
NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,1
WIREROOM/SPORTS,1
ALTER COINS,1
LOTTERY/OTHER,1
CONTRABAND IN PRISON,1
SALE/DEL HYPODERMIC NEEDLE,1
DISCLOSE DV VICTIM LOCATION,1
ARSONIST: ANNUAL REGISTRATION,1
